filename,class
0.jpg,0
1.jpg,1
2.jpg,2
3.jpg,3
4.jpg,4
5.jpg,5
6.jpg,6
7.jpg,7
8.jpg,8
11.jpg,11
13.jpg,13
14.jpg,14
15.jpg,15
16.jpg,16
19.jpg,19
20.jpg,20
21.jpg,21
23.jpg,23
24.jpg,24
25.jpg,25
26.jpg,26
27.jpg,27
28.jpg,28
29.jpg,29
31.jpg,31
32.jpg,32
33.jpg,33
35.jpg,35
36.jpg,36
37.jpg,37
38.jpg,38
39.jpg,39
40.jpg,40
41.jpg,41
42.jpg,42
43.jpg,43
44.jpg,44
46.jpg,46
47.jpg,47
48.jpg,48
49.jpg,49
50.jpg,50
55.jpg,55
56.jpg,56
57.jpg,57
59.jpg,59
60.jpg,60
61.jpg,61
62.jpg,62
63.jpg,63
66.jpg,66
67.jpg,67
68.jpg,68
70.jpg,70
71.jpg,71
72.jpg,72
73.jpg,73
74.jpg,74
75.jpg,75
76.jpg,76
77.jpg,77
78.jpg,78
79.jpg,79
82.jpg,82
83.jpg,83
84.jpg,84
85.jpg,85
88.jpg,88
89.jpg,89
91.jpg,91
93.jpg,93
95.jpg,95
97.jpg,97
98.jpg,98
99.jpg,99
100.jpg,100
101.jpg,101
102.jpg,102
103.jpg,103
104.jpg,104
105.jpg,105
107.jpg,107
108.jpg,108
109.jpg,109
